id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,144,29,437,142,5,.3244,,313.1,320,6,3.418,1.216,3.3,,8-4-0,12
teamId=6,,186,39,527,157,37,.3203,,278.1,246,9,3.848,1.243,3.3,,5-7-0,9
teamId=1,,182,47,543,171,20,.3587,,286.1,256,13,4.086,1.299,2.8,,11-1-0,13
teamId=2,,160,38,529,169,8,.3379,,355.0,324,12,4.208,1.332,2.4,,5-6-1,11
teamId=11,,151,29,444,139,4,.3521,,342.1,276,8,3.365,1.206,3.1,,7-5-0,9
teamId=5,,163,34,484,155,14,.3333,,255.0,239,11,4.235,1.345,2.8,,8-3-1,6
teamId=10,,151,24,477,120,21,.3223,,238.0,212,20,4.122,1.391,2.3,,3-8-1,10
teamId=3,,170,40,516,158,24,.3212,,275.1,234,16,4.380,1.409,2.1,,4-8-0,7
teamId=9,,149,25,466,145,6,.3235,,95.1,93,24,2.549,1.164,2.9,,6-5-1,2
teamId=7,,138,34,424,135,6,.3284,,171.2,154,2,4.194,1.276,2.9,,1-11-0,2
