id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=2,,27,9,78,20,5,.3318,,36.1,33,1,3.220,1.101,5.5,,10-2-0,5
teamId=5,,28,7,86,21,1,.3317,,36.0,42,4,4.000,1.333,2.3,,8-2-2,3
teamId=10,,29,9,93,31,-1,.3670,,41.0,45,6,4.829,1.341,2.8,,8-4-0,4
teamId=3,,24,10,90,27,1,.3224,,32.2,36,1,4.408,1.194,6,,7-5-0,4
teamId=7,,36,12,96,27,3,.3303,,22.2,22,1,3.574,1.324,3.1,,6-5-1,3
teamId=11,,25,9,74,26,1,.3077,,43.2,36,1,4.328,1.099,3.6,,5-6-1,3
teamId=9,,10,2,38,14,0,.2366,,64.2,76,4,2.644,1.129,3.3,,5-7-0,2
teamId=8,,15,6,66,20,-4,.2751,,39.1,47,0,4.347,1.220,3.6,,4-8-0,6
teamId=6,,21,7,74,17,-1,.2990,,42.1,43,4,5.102,1.724,1.9,,2-8-2,2
teamId=1,,23,2,65,19,0,.3000,,54.2,54,0,4.610,1.390,2.8,,2-10-0,3
