id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,346,78,1153,373,21,.3292,,838.2,821,35,3.455,1.184,3.7,,12-0-0,24
teamId=2,,425,121,1441,476,27,.3546,,883.1,813,27,3.627,1.193,2.9,,10-2-0,19
teamId=1,,426,108,1352,396,62,.3506,,780.1,673,40,3.921,1.282,2.8,,9-3-0,24
teamId=6,,435,93,1345,396,72,.3221,,818.0,726,18,3.642,1.236,3.3,,10-2-0,17
teamId=11,,376,81,1178,359,4,.3429,,852.1,655,23,3.506,1.238,3,,2-10-0,25
teamId=5,,400,81,1196,362,30,.3223,,711.1,689,33,3.948,1.292,3.1,,5-5-2,25
teamId=3,,399,93,1226,364,32,.3187,,753.0,648,43,4.554,1.420,2.2,,0-12-0,14
teamId=10,,363,58,1131,302,37,.3172,,646.2,541,24,4.120,1.333,2.3,,5-5-2,21
teamId=9,,379,71,1187,341,29,.3227,,236.2,213,60,3.118,1.289,3.1,,2-10-0,2
teamId=7,,358,110,1168,370,25,.3215,,304.1,248,2,4.584,1.380,2.5,,3-9-0,2
